obs,ID,Bin,Bin.Normal,Phase,Rate,Group
1029,P039,-6,3,B-1,32,exptl2
1030,P039,-5,4,B-1,25,exptl2
1031,P039,-4,5,B-1,32,exptl2
1032,P039,-3,6,B-1,30,exptl2
1033,P039,-2,7,B-1,32,exptl2
1034,P039,-1,8,B-1,35,exptl2
1035,P039,0,9,B-1,31,exptl2
1036,P039,8,10,A-2,11,exptl2
1037,P039,7,11,A-2,4,exptl2
1038,P039,6,12,A-2,6,exptl2
1039,P039,5,13,A-2,0,exptl2
1040,P039,4,14,A-2,0,exptl2
1041,P039,3,15,A-2,0,exptl2
1042,P039,2,16,A-2,0,exptl2
1043,P039,1,17,A-2,9,exptl2
1044,P039,0,18,A-2,0,exptl2
1045,P039,0,19,C-3,15,exptl2
1046,P039,1,20,C-3,0,exptl2
1047,P039,2,21,C-3,0,exptl2
1048,P039,3,22,C-3,0,exptl2
1049,P039,4,23,C-3,0,exptl2
1050,P039,5,24,C-3,0,exptl2
1051,P039,6,25,C-3,0,exptl2
1052,P039,7,26,C-3,0,exptl2
1053,P039,8,27,C-3,0,exptl2
1054,P040,-8,1,B-1,8,exptl2
1055,P040,-7,2,B-1,20,exptl2
1056,P040,-6,3,B-1,28,exptl2
1057,P040,-5,4,B-1,24,exptl2
1058,P040,-4,5,B-1,31,exptl2
1059,P040,-3,6,B-1,33,exptl2
1060,P040,-2,7,B-1,27,exptl2
1061,P040,-1,8,B-1,30,exptl2
1062,P040,0,9,B-1,22,exptl2
1063,P040,8,10,A-2,18,exptl2
1064,P040,7,11,A-2,6,exptl2
1065,P040,6,12,A-2,5,exptl2
1066,P040,5,13,A-2,8,exptl2
1067,P040,4,14,A-2,6,exptl2
1068,P040,3,15,A-2,0,exptl2
1069,P040,2,16,A-2,0,exptl2
1070,P040,1,17,A-2,0,exptl2
1071,P040,0,18,A-2,0,exptl2
1072,P040,0,19,C-3,0,exptl2
1073,P040,1,20,C-3,0,exptl2
1074,P040,2,21,C-3,13,exptl2
1075,P040,3,22,C-3,0,exptl2
1076,P040,4,23,C-3,0,exptl2
1077,P040,5,24,C-3,6,exptl2
1078,P040,6,25,C-3,0,exptl2
1079,P040,7,26,C-3,8,exptl2
1080,P040,8,27,C-3,6,exptl2
1081,P041,-8,1,B-1,14,exptl2
1082,P041,-7,2,B-1,16,exptl2
1083,P041,-6,3,B-1,20,exptl2
1084,P041,-5,4,B-1,33,exptl2
1085,P041,-4,5,B-1,28,exptl2
1086,P041,-3,6,B-1,19,exptl2
1087,P041,-2,7,B-1,52,exptl2
1088,P041,-1,8,B-1,45,exptl2
1089,P041,0,9,B-1,46,exptl2
1090,P041,8,10,A-2,25,exptl2
1091,P041,7,11,A-2,2,exptl2
1092,P041,6,12,A-2,0,exptl2
1093,P041,5,13,A-2,53,exptl2
1094,P041,4,14,A-2,0,exptl2
1095,P041,3,15,A-2,17,exptl2
1096,P041,2,16,A-2,0,exptl2
1097,P041,1,17,A-2,0,exptl2
1098,P041,0,18,A-2,14,exptl2
1099,P041,0,19,C-3,46,exptl2
1100,P041,1,20,C-3,0,exptl2
1101,P041,2,21,C-3,0,exptl2
1102,P041,3,22,C-3,0,exptl2
1103,P041,4,23,C-3,0,exptl2
1104,P041,5,24,C-3,11,exptl2
1105,P041,6,25,C-3,0,exptl2
1106,P041,7,26,C-3,0,exptl2
1107,P041,8,27,C-3,0,exptl2
1108,P042,-8,1,B-1,7,exptl2
1109,P042,-7,2,B-1,4,exptl2
1110,P042,-6,3,B-1,0,exptl2
1111,P042,-5,4,B-1,2,exptl2
1112,P042,-4,5,B-1,0,exptl2
1113,P042,-3,6,B-1,0,exptl2
1114,P042,-2,7,B-1,31,exptl2
1115,P042,-1,8,B-1,36,exptl2
1116,P042,0,9,B-1,38,exptl2
1117,P042,8,10,A-2,11,exptl2
1118,P042,7,11,A-2,6,exptl2
1119,P042,6,12,A-2,9,exptl2
1120,P042,5,13,A-2,10,exptl2
1121,P042,4,14,A-2,10,exptl2
1122,P042,3,15,A-2,0,exptl2
1123,P042,2,16,A-2,15,exptl2
1124,P042,1,17,A-2,7,exptl2
1125,P042,0,18,A-2,6,exptl2
1126,P042,0,19,C-3,8,exptl2
1127,P042,1,20,C-3,0,exptl2
1128,P042,2,21,C-3,0,exptl2
1129,P042,3,22,C-3,0,exptl2
1130,P042,4,23,C-3,0,exptl2
1131,P042,5,24,C-3,8,exptl2
1132,P042,6,25,C-3,0,exptl2
1133,P042,7,26,C-3,8,exptl2
1134,P042,8,27,C-3,0,exptl2
1135,P043,-8,1,B-1,26,exptl2
1136,P043,-7,2,B-1,22,exptl2
1137,P043,-6,3,B-1,36,exptl2
1138,P043,-5,4,B-1,29,exptl2
1139,P043,-4,5,B-1,42,exptl2
1140,P043,-3,6,B-1,33,exptl2
1141,P043,-2,7,B-1,0,exptl2
1142,P043,-1,8,B-1,30,exptl2
1143,P043,0,9,B-1,58,exptl2
1144,P043,8,10,A-2,22,exptl2
1145,P043,7,11,A-2,17,exptl2
1146,P043,6,12,A-2,61,exptl2
1147,P043,5,13,A-2,57,exptl2
1148,P043,4,14,A-2,3,exptl2
1149,P043,3,15,A-2,13,exptl2
1150,P043,2,16,A-2,12,exptl2
1151,P043,1,17,A-2,2,exptl2
1152,P043,0,18,A-2,0,exptl2
1153,P043,0,19,C-3,27,exptl2
1154,P043,1,20,C-3,3,exptl2
1155,P043,2,21,C-3,53,exptl2
1156,P043,3,22,C-3,15,exptl2
1157,P043,4,23,C-3,0,exptl2
1158,P043,5,24,C-3,0,exptl2
1159,P043,6,25,C-3,0,exptl2
1160,P043,7,26,C-3,0,exptl2
1161,P043,8,27,C-3,2,exptl2
1162,P044,-8,1,B-1,33,exptl2
1163,P044,-7,2,B-1,29,exptl2
1164,P044,-6,3,B-1,53,exptl2
1165,P044,-5,4,B-1,34,exptl2
1166,P044,-4,5,B-1,50,exptl2
1167,P044,-3,6,B-1,44,exptl2
1168,P044,-2,7,B-1,48,exptl2
1169,P044,-1,8,B-1,56,exptl2
1170,P044,0,9,B-1,48,exptl2
1171,P044,8,10,A-2,15,exptl2
1172,P044,7,11,A-2,6,exptl2
1173,P044,6,12,A-2,0,exptl2
1174,P044,5,13,A-2,0,exptl2
1175,P044,4,14,A-2,0,exptl2
1176,P044,3,15,A-2,0,exptl2
1177,P044,2,16,A-2,0,exptl2
1178,P044,1,17,A-2,4,exptl2
1179,P044,0,18,A-2,0,exptl2
1180,P044,0,19,C-3,0,exptl2
1181,P044,1,20,C-3,0,exptl2
1182,P044,2,21,C-3,0,exptl2
1183,P044,3,22,C-3,2,exptl2
1184,P044,4,23,C-3,0,exptl2
1185,P044,5,24,C-3,0,exptl2
1186,P044,6,25,C-3,0,exptl2
1187,P044,7,26,C-3,0,exptl2
1188,P044,8,27,C-3,0,exptl2
1189,P045,-8,1,B-1,13,exptl2
1190,P045,-7,2,B-1,20,exptl2
1191,P045,-6,3,B-1,20,exptl2
1192,P045,-5,4,B-1,27,exptl2
1193,P045,-4,5,B-1,30,exptl2
1194,P045,-3,6,B-1,13,exptl2
1195,P045,-2,7,B-1,27,exptl2
1196,P045,-1,8,B-1,32,exptl2
1197,P045,0,9,B-1,27,exptl2
1198,P045,8,10,A-2,19,exptl2
1199,P045,7,11,A-2,0,exptl2
1200,P045,6,12,A-2,10,exptl2
1201,P045,5,13,A-2,19,exptl2
1202,P045,4,14,A-2,5,exptl2
1203,P045,3,15,A-2,16,exptl2
1204,P045,2,16,A-2,13,exptl2
1205,P045,1,17,A-2,0,exptl2
1206,P045,0,18,A-2,8,exptl2
1207,P045,0,19,C-3,24,exptl2
1208,P045,1,20,C-3,6,exptl2
1209,P045,2,21,C-3,22,exptl2
1210,P045,3,22,C-3,2,exptl2
1211,P045,4,23,C-3,11,exptl2
1212,P045,5,24,C-3,0,exptl2
1213,P045,6,25,C-3,0,exptl2
1214,P045,7,26,C-3,0,exptl2
1215,P045,8,27,C-3,0,exptl2
1216,P046,-8,1,B-1,10,exptl2
1217,P046,-7,2,B-1,34,exptl2
1218,P046,-6,3,B-1,24,exptl2
1219,P046,-5,4,B-1,26,exptl2
1220,P046,-4,5,B-1,41,exptl2
1221,P046,-3,6,B-1,35,exptl2
1222,P046,-2,7,B-1,33,exptl2
1223,P046,-1,8,B-1,35,exptl2
1224,P046,0,9,B-1,22,exptl2
1225,P046,8,10,A-2,17,exptl2
1226,P046,7,11,A-2,13,exptl2
1227,P046,6,12,A-2,17,exptl2
1228,P046,5,13,A-2,8,exptl2
1229,P046,4,14,A-2,5,exptl2
1230,P046,3,15,A-2,23,exptl2
1231,P046,2,16,A-2,11,exptl2
1232,P046,1,17,A-2,3,exptl2
1233,P046,0,18,A-2,2,exptl2
1234,P046,0,19,C-3,0,exptl2
1235,P046,1,20,C-3,13,exptl2
1236,P046,2,21,C-3,5,exptl2
1237,P046,3,22,C-3,0,exptl2
1238,P046,4,23,C-3,3,exptl2
1239,P046,5,24,C-3,3,exptl2
1240,P046,6,25,C-3,7,exptl2
1241,P046,7,26,C-3,0,exptl2
1242,P046,8,27,C-3,3,exptl2
1243,P047,-8,1,B-1,28,exptl2
1244,P047,-7,2,B-1,30,exptl2
1245,P047,-6,3,B-1,34,exptl2
1246,P047,-5,4,B-1,19,exptl2
1247,P047,-4,5,B-1,31,exptl2
1248,P047,-3,6,B-1,39,exptl2
1249,P047,-2,7,B-1,36,exptl2
1250,P047,-1,8,B-1,35,exptl2
1251,P047,0,9,B-1,27,exptl2
1252,P047,8,10,A-2,34,exptl2
1253,P047,7,11,A-2,25,exptl2
1254,P047,6,12,A-2,9,exptl2
1255,P047,5,13,A-2,0,exptl2
1256,P047,4,14,A-2,0,exptl2
1257,P047,3,15,A-2,10,exptl2
1258,P047,2,16,A-2,31,exptl2
1259,P047,1,17,A-2,1,exptl2
1260,P047,0,18,A-2,0,exptl2
1261,P047,0,19,C-3,0,exptl2
1262,P047,1,20,C-3,11,exptl2
1263,P047,2,21,C-3,26,exptl2
1264,P047,3,22,C-3,5,exptl2
1265,P047,4,23,C-3,0,exptl2
1266,P047,5,24,C-3,1,exptl2
1267,P047,6,25,C-3,0,exptl2
1268,P047,7,26,C-3,0,exptl2
1269,P047,8,27,C-3,0,exptl2
1270,P048,-8,1,B-1,19,exptl2
1271,P048,-7,2,B-1,32,exptl2
1272,P048,-6,3,B-1,21,exptl2
1273,P048,-5,4,B-1,39,exptl2
1274,P048,-4,5,B-1,40,exptl2
1275,P048,-3,6,B-1,46,exptl2
1276,P048,-2,7,B-1,46,exptl2
1277,P048,-1,8,B-1,41,exptl2
1278,P048,0,9,B-1,42,exptl2
1279,P048,8,10,A-2,14,exptl2
1280,P048,7,11,A-2,15,exptl2
1281,P048,6,12,A-2,10,exptl2
1282,P048,5,13,A-2,0,exptl2
1283,P048,4,14,A-2,14,exptl2
1284,P048,3,15,A-2,10,exptl2
1285,P048,2,16,A-2,0,exptl2
1286,P048,1,17,A-2,0,exptl2
1287,P048,0,18,A-2,5,exptl2
1288,P048,0,19,C-3,15,exptl2
1289,P048,1,20,C-3,0,exptl2
1290,P048,2,21,C-3,0,exptl2
1291,P048,3,22,C-3,14,exptl2
1292,P048,4,23,C-3,15,exptl2
1293,P048,5,24,C-3,0,exptl2
1294,P048,6,25,C-3,0,exptl2
1295,P048,7,26,C-3,0,exptl2
1296,P048,8,27,C-3,10,exptl2
1297,P049,-8,1,B-1,13,exptl2
1298,P049,-7,2,B-1,27,exptl2
1299,P049,-6,3,B-1,25,exptl2
1300,P049,-5,4,B-1,19,exptl2
1301,P049,-4,5,B-1,19,exptl2
1302,P049,-3,6,B-1,20,exptl2
1303,P049,-2,7,B-1,15,exptl2
1304,P049,-1,8,B-1,22,exptl2
1305,P049,0,9,B-1,19,exptl2
1306,P049,8,10,A-2,6,exptl2
1307,P049,7,11,A-2,5,exptl2
1308,P049,6,12,A-2,4,exptl2
1309,P049,5,13,A-2,4,exptl2
1310,P049,4,14,A-2,0,exptl2
1311,P049,3,15,A-2,0,exptl2
1312,P049,2,16,A-2,4,exptl2
1313,P049,1,17,A-2,0,exptl2
1314,P049,0,18,A-2,3,exptl2
1315,P049,0,19,C-3,0,exptl2
1316,P049,1,20,C-3,0,exptl2
1317,P049,2,21,C-3,0,exptl2
1318,P049,3,22,C-3,0,exptl2
1319,P049,4,23,C-3,0,exptl2
1320,P049,5,24,C-3,6,exptl2
1321,P049,6,25,C-3,0,exptl2
1322,P049,7,26,C-3,4,exptl2
1323,P049,8,27,C-3,0,exptl2
1324,P050,-8,1,B-1,19,exptl2
1325,P050,-7,2,B-1,36,exptl2
1326,P050,-6,3,B-1,43,exptl2
1327,P050,-5,4,B-1,33,exptl2
1328,P050,-4,5,B-1,62,exptl2
1329,P050,-3,6,B-1,60,exptl2
1330,P050,-2,7,B-1,51,exptl2
1331,P050,-1,8,B-1,54,exptl2
1332,P050,0,9,B-1,48,exptl2
1333,P050,8,10,A-2,23,exptl2
1334,P050,7,11,A-2,16,exptl2
1335,P050,6,12,A-2,13,exptl2
1336,P050,5,13,A-2,7,exptl2
1337,P050,4,14,A-2,9,exptl2
1338,P050,3,15,A-2,0,exptl2
1339,P050,2,16,A-2,14,exptl2
1340,P050,1,17,A-2,15,exptl2
1341,P050,0,18,A-2,20,exptl2
1342,P050,0,19,C-3,10,exptl2
1343,P050,1,20,C-3,16,exptl2
1344,P050,2,21,C-3,21,exptl2
1345,P050,3,22,C-3,11,exptl2
1346,P050,4,23,C-3,15,exptl2
1347,P050,5,24,C-3,23,exptl2
1348,P050,6,25,C-3,10,exptl2
1349,P050,7,26,C-3,24,exptl2
1350,P050,8,27,C-3,17,exptl2
1351,P051,-8,1,B-1,61,exptl2
1352,P051,-7,2,B-1,65,exptl2
1353,P051,-6,3,B-1,69,exptl2
1354,P051,-5,4,B-1,62,exptl2
1355,P051,-4,5,B-1,66,exptl2
1356,P051,-3,6,B-1,64,exptl2
1357,P051,-2,7,B-1,64,exptl2
1358,P051,-1,8,B-1,71,exptl2
1359,P051,0,9,B-1,69,exptl2
1360,P051,8,10,A-2,9,exptl2
1361,P051,7,11,A-2,6,exptl2
1362,P051,6,12,A-2,0,exptl2
1363,P051,5,13,A-2,0,exptl2
1364,P051,4,14,A-2,13,exptl2
1365,P051,3,15,A-2,0,exptl2
1366,P051,2,16,A-2,0,exptl2
1367,P051,1,17,A-2,9,exptl2
1368,P051,0,18,A-2,1,exptl2
1369,P051,0,19,C-3,15,exptl2
1370,P051,1,20,C-3,0,exptl2
1371,P051,2,21,C-3,0,exptl2
1372,P051,3,22,C-3,19,exptl2
1373,P051,4,23,C-3,0,exptl2
1374,P051,5,24,C-3,0,exptl2
1375,P051,6,25,C-3,0,exptl2
1376,P051,7,26,C-3,0,exptl2
1377,P051,8,27,C-3,0,exptl2
1378,P052,-8,1,B-1,11,exptl1
1379,P052,-7,2,B-1,8,exptl1
1380,P052,-6,3,B-1,3,exptl1
1381,P052,-5,4,B-1,15,exptl1
1382,P052,-4,5,B-1,21,exptl1
1383,P052,-3,6,B-1,25,exptl1
1384,P052,-2,7,B-1,25,exptl1
1385,P052,-1,8,B-1,26,exptl1
1386,P052,0,9,B-1,34,exptl1
1387,P052,8,10,A-2,12,exptl1
1388,P052,7,11,A-2,12,exptl1
1389,P052,6,12,A-2,13,exptl1
1390,P052,5,13,A-2,15,exptl1
1391,P052,4,14,A-2,14,exptl1
1392,P052,3,15,A-2,16,exptl1
1393,P052,2,16,A-2,17,exptl1
1394,P052,1,17,A-2,18,exptl1
1395,P052,0,18,A-2,10,exptl1
1396,P052,0,19,C-3,12,exptl1
1397,P052,1,20,C-3,9,exptl1
1398,P052,2,21,C-3,14,exptl1
1399,P052,3,22,C-3,7,exptl1
1400,P052,4,23,C-3,15,exptl1
1401,P052,5,24,C-3,8,exptl1
1402,P052,6,25,C-3,12,exptl1
1403,P052,7,26,C-3,0,exptl1
1404,P052,8,27,C-3,26,exptl1
1405,P053,-8,1,B-1,14,exptl1
1406,P053,-7,2,B-1,30,exptl1
1407,P053,-6,3,B-1,29,exptl1
1408,P053,-5,4,B-1,27,exptl1
1409,P053,-4,5,B-1,29,exptl1
1410,P053,-3,6,B-1,39,exptl1
1411,P053,-2,7,B-1,33,exptl1
1412,P053,-1,8,B-1,37,exptl1
1413,P053,0,9,B-1,42,exptl1
1414,P053,8,10,A-2,11,exptl1
1415,P053,7,11,A-2,16,exptl1
1416,P053,6,12,A-2,14,exptl1
1417,P053,5,13,A-2,12,exptl1
1418,P053,4,14,A-2,15,exptl1
1419,P053,3,15,A-2,7,exptl1
1420,P053,2,16,A-2,20,exptl1
1421,P053,1,17,A-2,0,exptl1
1422,P053,0,18,A-2,12,exptl1
1423,P053,0,19,C-3,15,exptl1
1424,P053,1,20,C-3,0,exptl1
1425,P053,2,21,C-3,8,exptl1
1426,P053,3,22,C-3,9,exptl1
1427,P053,4,23,C-3,15,exptl1
1428,P053,5,24,C-3,0,exptl1
1429,P053,6,25,C-3,0,exptl1
1430,P053,7,26,C-3,0,exptl1
1431,P053,8,27,C-3,0,exptl1
1432,P054,-8,1,B-1,35,exptl1
1433,P054,-7,2,B-1,38,exptl1
1434,P054,-6,3,B-1,34,exptl1
1435,P054,-5,4,B-1,46,exptl1
1436,P054,-4,5,B-1,47,exptl1
1437,P054,-3,6,B-1,49,exptl1
1438,P054,-2,7,B-1,56,exptl1
1439,P054,-1,8,B-1,54,exptl1
1440,P054,0,9,B-1,49,exptl1
1441,P054,8,10,A-2,10,exptl1
1442,P054,7,11,A-2,25,exptl1
1443,P054,6,12,A-2,17,exptl1
1444,P054,5,13,A-2,27,exptl1
1445,P054,4,14,A-2,26,exptl1
1446,P054,3,15,A-2,0,exptl1
1447,P054,2,16,A-2,12,exptl1
1448,P054,1,17,A-2,2,exptl1
1449,P054,0,18,A-2,0,exptl1
1450,P054,0,19,C-3,18,exptl1
1451,P054,1,20,C-3,15,exptl1
1452,P054,2,21,C-3,0,exptl1
1453,P054,3,22,C-3,0,exptl1
1454,P054,4,23,C-3,21,exptl1
1455,P054,5,24,C-3,15,exptl1
1456,P054,6,25,C-3,0,exptl1
1457,P054,7,26,C-3,14,exptl1
1458,P054,8,27,C-3,15,exptl1
1459,P055,-8,1,B-1,33,exptl1
1460,P055,-7,2,B-1,46,exptl1
1461,P055,-6,3,B-1,56,exptl1
1462,P055,-5,4,B-1,61,exptl1
1463,P055,-4,5,B-1,62,exptl1
1464,P055,-3,6,B-1,59,exptl1
1465,P055,-2,7,B-1,66,exptl1
1466,P055,-1,8,B-1,62,exptl1
1467,P055,0,9,B-1,65,exptl1
1468,P055,8,10,A-2,36,exptl1
1469,P055,7,11,A-2,21,exptl1
1470,P055,6,12,A-2,10,exptl1
1471,P055,5,13,A-2,0,exptl1
1472,P055,4,14,A-2,0,exptl1
1473,P055,3,15,A-2,18,exptl1
1474,P055,2,16,A-2,6,exptl1
1475,P055,1,17,A-2,0,exptl1
1476,P055,0,18,A-2,0,exptl1
1477,P055,0,19,C-3,16,exptl1
1478,P055,1,20,C-3,0,exptl1
1479,P055,2,21,C-3,0,exptl1
1480,P055,3,22,C-3,0,exptl1
1481,P055,4,23,C-3,0,exptl1
1482,P055,5,24,C-3,0,exptl1
1483,P055,6,25,C-3,0,exptl1
1484,P055,7,26,C-3,0,exptl1
1485,P055,8,27,C-3,0,exptl1
1486,P056,-8,1,B-1,30,exptl1
1487,P056,-7,2,B-1,34,exptl1
1488,P056,-6,3,B-1,33,exptl1
1489,P056,-5,4,B-1,17,exptl1
1490,P056,-4,5,B-1,23,exptl1
1491,P056,-3,6,B-1,15,exptl1
1492,P056,-2,7,B-1,24,exptl1
1493,P056,-1,8,B-1,27,exptl1
1494,P056,0,9,B-1,26,exptl1
1495,P056,8,10,A-2,16,exptl1
1496,P056,7,11,A-2,14,exptl1
1497,P056,6,12,A-2,14,exptl1
1498,P056,5,13,A-2,12,exptl1
1499,P056,4,14,A-2,10,exptl1
1500,P056,3,15,A-2,11,exptl1
1501,P056,2,16,A-2,14,exptl1
1502,P056,1,17,A-2,11,exptl1
1503,P056,0,18,A-2,14,exptl1
1504,P056,0,19,C-3,8,exptl1
1505,P056,1,20,C-3,8,exptl1
1506,P056,2,21,C-3,10,exptl1
1507,P056,3,22,C-3,10,exptl1
1508,P056,4,23,C-3,13,exptl1
1509,P056,5,24,C-3,16,exptl1
1510,P056,6,25,C-3,16,exptl1
1511,P056,7,26,C-3,13,exptl1
1512,P056,8,27,C-3,12,exptl1
1513,P057,-8,1,B-1,14,exptl1
1514,P057,-7,2,B-1,16,exptl1
1515,P057,-6,3,B-1,18,exptl1
1516,P057,-5,4,B-1,29,exptl1
1517,P057,-4,5,B-1,37,exptl1
1518,P057,-3,6,B-1,27,exptl1
1519,P057,-2,7,B-1,19,exptl1
1520,P057,-1,8,B-1,20,exptl1
1521,P057,0,9,B-1,9,exptl1
1522,P057,8,10,A-2,6,exptl1
1523,P057,7,11,A-2,7,exptl1
1524,P057,6,12,A-2,0,exptl1
1525,P057,5,13,A-2,7,exptl1
1526,P057,4,14,A-2,6,exptl1
1527,P057,3,15,A-2,10,exptl1
1528,P057,2,16,A-2,1,exptl1
1529,P057,1,17,A-2,5,exptl1
1530,P057,0,18,A-2,7,exptl1
1531,P057,0,19,C-3,14,exptl1
1532,P057,1,20,C-3,1,exptl1
1533,P057,2,21,C-3,10,exptl1
1534,P057,3,22,C-3,7,exptl1
1535,P057,4,23,C-3,0,exptl1
1536,P057,5,24,C-3,0,exptl1
1537,P057,6,25,C-3,0,exptl1
1538,P057,7,26,C-3,0,exptl1
1539,P057,8,27,C-3,6,exptl1
1540,P058,-8,1,B-1,8,exptl1
1541,P058,-7,2,B-1,23,exptl1
1542,P058,-6,3,B-1,42,exptl1
1543,P058,-5,4,B-1,40,exptl1
1544,P058,-4,5,B-1,49,exptl1
1545,P058,-3,6,B-1,48,exptl1
1546,P058,-2,7,B-1,46,exptl1
1547,P058,-1,8,B-1,51,exptl1
1548,P058,0,9,B-1,55,exptl1
1549,P058,8,10,A-2,26,exptl1
1550,P058,7,11,A-2,9,exptl1
1551,P058,6,12,A-2,24,exptl1
1552,P058,5,13,A-2,0,exptl1
1553,P058,4,14,A-2,13,exptl1
1554,P058,3,15,A-2,25,exptl1
1555,P058,2,16,A-2,20,exptl1
1556,P058,1,17,A-2,12,exptl1
1557,P058,0,18,A-2,13,exptl1
1558,P058,0,19,C-3,0,exptl1
1559,P058,1,20,C-3,14,exptl1
1560,P058,2,21,C-3,7,exptl1
1561,P058,3,22,C-3,8,exptl1
1562,P058,4,23,C-3,5,exptl1
1563,P058,5,24,C-3,0,exptl1
1564,P058,6,25,C-3,0,exptl1
1565,P058,7,26,C-3,0,exptl1
1566,P058,8,27,C-3,1,exptl1
1567,P059,-8,1,B-1,12,exptl1
1568,P059,-7,2,B-1,8,exptl1
1569,P059,-6,3,B-1,15,exptl1
1570,P059,-5,4,B-1,16,exptl1
1571,P059,-4,5,B-1,12,exptl1
1572,P059,-3,6,B-1,23,exptl1
1573,P059,-2,7,B-1,25,exptl1
1574,P059,-1,8,B-1,26,exptl1
1575,P059,0,9,B-1,24,exptl1
1576,P059,8,10,A-2,12,exptl1
1577,P059,7,11,A-2,16,exptl1
1578,P059,6,12,A-2,13,exptl1
1579,P059,5,13,A-2,13,exptl1
1580,P059,4,14,A-2,5,exptl1
1581,P059,3,15,A-2,5,exptl1
1582,P059,2,16,A-2,8,exptl1
1583,P059,1,17,A-2,9,exptl1
1584,P059,0,18,A-2,4,exptl1
1585,P059,0,19,C-3,9,exptl1
1586,P059,1,20,C-3,10,exptl1
1587,P059,2,21,C-3,11,exptl1
1588,P059,3,22,C-3,10,exptl1
1589,P059,4,23,C-3,1,exptl1
1590,P059,5,24,C-3,4,exptl1
1591,P059,6,25,C-3,7,exptl1
1592,P059,7,26,C-3,12,exptl1
1593,P059,8,27,C-3,0,exptl1
1594,P060,-8,1,B-1,12,exptl1
1595,P060,-7,2,B-1,17,exptl1
1596,P060,-6,3,B-1,39,exptl1
1597,P060,-5,4,B-1,43,exptl1
1598,P060,-4,5,B-1,34,exptl1
1599,P060,-3,6,B-1,42,exptl1
1600,P060,-2,7,B-1,39,exptl1
1601,P060,-1,8,B-1,42,exptl1
1602,P060,0,9,B-1,49,exptl1
1603,P060,8,10,A-2,7,exptl1
1604,P060,7,11,A-2,16,exptl1
1605,P060,6,12,A-2,9,exptl1
1606,P060,5,13,A-2,15,exptl1
1607,P060,4,14,A-2,13,exptl1
1608,P060,3,15,A-2,6,exptl1
1609,P060,2,16,A-2,12,exptl1
1610,P060,1,17,A-2,5,exptl1
1611,P060,0,18,A-2,15,exptl1
1612,P060,0,19,C-3,5,exptl1
1613,P060,1,20,C-3,22,exptl1
1614,P060,2,21,C-3,14,exptl1
1615,P060,3,22,C-3,16,exptl1
1616,P060,4,23,C-3,1,exptl1
1617,P060,5,24,C-3,7,exptl1
1618,P060,6,25,C-3,0,exptl1
1619,P060,7,26,C-3,0,exptl1
1620,P060,8,27,C-3,10,exptl1
1621,P061,-8,1,B-1,12,exptl1
1622,P061,-7,2,B-1,5,exptl1
1623,P061,-6,3,B-1,3,exptl1
1624,P061,-5,4,B-1,8,exptl1
1625,P061,-4,5,B-1,14,exptl1
1626,P061,-3,6,B-1,8,exptl1
1627,P061,-2,7,B-1,19,exptl1
1628,P061,-1,8,B-1,15,exptl1
1629,P061,0,9,B-1,18,exptl1
1630,P061,8,10,A-2,6,exptl1
1631,P061,7,11,A-2,7,exptl1
1632,P061,6,12,A-2,6,exptl1
1633,P061,5,13,A-2,12,exptl1
1634,P061,4,14,A-2,12,exptl1
1635,P061,3,15,A-2,4,exptl1
1636,P061,2,16,A-2,10,exptl1
1637,P061,1,17,A-2,12,exptl1
1638,P061,0,18,A-2,3,exptl1
1639,P061,0,19,C-3,9,exptl1
1640,P061,1,20,C-3,12,exptl1
1641,P061,2,21,C-3,4,exptl1
1642,P061,3,22,C-3,2,exptl1
1643,P061,4,23,C-3,8,exptl1
1644,P061,5,24,C-3,2,exptl1
1645,P061,6,25,C-3,3,exptl1
1646,P061,7,26,C-3,4,exptl1
1647,P061,8,27,C-3,5,exptl1
1648,P062,-8,1,B-1,20,exptl1
1649,P062,-7,2,B-1,38,exptl1
1650,P062,-6,3,B-1,47,exptl1
1651,P062,-5,4,B-1,46,exptl1
1652,P062,-4,5,B-1,28,exptl1
1653,P062,-3,6,B-1,52,exptl1
1654,P062,-2,7,B-1,49,exptl1
1655,P062,-1,8,B-1,57,exptl1
1656,P062,0,9,B-1,58,exptl1
1657,P062,8,10,A-2,10,exptl1
1658,P062,7,11,A-2,31,exptl1
1659,P062,6,12,A-2,0,exptl1
1660,P062,5,13,A-2,28,exptl1
1661,P062,4,14,A-2,0,exptl1
1662,P062,3,15,A-2,0,exptl1
1663,P062,2,16,A-2,0,exptl1
1664,P062,1,17,A-2,0,exptl1
1665,P062,0,18,A-2,33,exptl1
1666,P062,0,19,C-3,20,exptl1
1667,P062,1,20,C-3,0,exptl1
1668,P062,2,21,C-3,0,exptl1
1669,P062,3,22,C-3,0,exptl1
1670,P062,4,23,C-3,0,exptl1
1671,P062,5,24,C-3,6,exptl1
1672,P062,6,25,C-3,43,exptl1
1673,P062,7,26,C-3,37,exptl1
1674,P062,8,27,C-3,19,exptl1
1675,P063,-8,1,B-1,20,exptl1
1676,P063,-7,2,B-1,29,exptl1
1677,P063,-6,3,B-1,54,exptl1
1678,P063,-5,4,B-1,39,exptl1
1679,P063,-4,5,B-1,38,exptl1
1680,P063,-3,6,B-1,43,exptl1
1681,P063,-2,7,B-1,43,exptl1
1682,P063,-1,8,B-1,27,exptl1
1683,P063,0,9,B-1,38,exptl1
